V_actual,OMEGA_actual,V_ref,OMEGA_ref
1.3428889950233337e-06,7.655963239167391e-06,0,0
1.3429208147200885e-06,7.656153259380141e-06,0,0
1.3429208147200885e-06,7.656153259380141e-06,0,0
1.3429634529989382e-06,7.656407885920815e-06,0,0
1.3429844549760333e-06,7.656533305095522e-06,0,0
1.3430162736056507e-06,7.656723318786388e-06,0,0
1.3430589070135265e-06,7.656977915926867e-06,0,0
1.3430799148865924e-06,7.657103369824478e-06,0,0
1.3431117348017829e-06,7.657293390964308e-06,0,0
1.3431543755159128e-06,7.657548031159403e-06,0,0
1.343175376353444e-06,7.65767344311756e-06,0,0
1.3432071981420978e-06,7.657863475143778e-06,0,0
1.34323901751968e-06,7.65805349271719e-06,0,0
1.3432708407281752e-06,7.65824353288467e-06,0,0
1.343313481786866e-06,7.658498174422951e-06,0,0
1.3433344824246833e-06,7.658623584983987e-06,0,0
1.3433771248152361e-06,7.658878234204337e-06,0,0
1.3434089470270437e-06,7.659068268094474e-06,0,0
1.3434299522565165e-06,7.659193705679546e-06,0,0
1.3434725957777898e-06,7.659448361332335e-06,0,0
1.343493601034158e-06,7.659573798934803e-06,0,0
1.3435254242909158e-06,7.659763838645921e-06,0,0
1.3435572462619744e-06,7.659953870804528e-06,0,0
1.3435998909193784e-06,7.660208532630697e-06,0,0
1.3436208950805353e-06,7.660333963616277e-06,0,0
1.3436527208220454e-06,7.660524017607838e-06,0,0
1.34368454770452e-06,7.66071407856806e-06,0,0
1.3437271891448312e-06,7.660968720773863e-06,0,0
1.3437481979321748e-06,7.661094178875585e-06,0,0
1.3437908424850038e-06,7.661348839253777e-06,0,0
1.3438118457186745e-06,7.66147426448134e-06,0,0
1.3438436732986436e-06,7.661664328855807e-06,0,0
1.343886321357031e-06,7.661919009805552e-06,0,0
1.3439181508376992e-06,7.662109085484329e-06,0,0
1.3439499753278863e-06,7.66229913141324e-06,0,0
1.3439709806358066e-06,7.662424568402415e-06,0,0
1.3440136330594924e-06,7.662679274769195e-06,0,0
1.3440346342321171e-06,7.66280468712501e-06,0,0
1.344066464657207e-06,7.662994767853339e-06,0,0
1.3440982912519286e-06,7.663184825761195e-06,0,0
1.3441409428812809e-06,7.663439527144797e-06,0,0
1.3441619479514741e-06,7.663564962251665e-06,0,0
1.3442046006350415e-06,7.663819669551703e-06,0,0
1.3442364304910864e-06,7.664009746468662e-06,0,0
